"text_group","keyword","n"
"Try Alcohol","Late Teens",0
"Bedroom TV","Late Teens",0
"Unsupervised Parties","Late Teens",0
"Swear","Late Teens",0
"Bedroom Computer","Double Digits",0
"Start Dating","Double Digits",0
"Drink Regularly","Double Digits",0
"Try Drugs","Double Digits",0
"Wear Makeup","Double Digits",0
"View Porn","Double Digits",0
"R-Rated Movie","Double Digits",1
"Have Sex","Double Digits",0
"Social Media","Double Digits",0
"Smartphone","Double Digits",0
"Try Alcohol","Double Digits",0
"Bedroom TV","Double Digits",0
"Unsupervised Parties","Double Digits",0
"Swear","Double Digits",0
"Bedroom Computer","Middle School",1
"Start Dating","Middle School",2
"Drink Regularly","Middle School",0
"Try Drugs","Middle School",0
"Wear Makeup","Middle School",3
"View Porn","Middle School",1
"R-Rated Movie","Middle School",0
"Have Sex","Middle School",0
"Social Media","Middle School",4
"Smartphone","Middle School",5
"Try Alcohol","Middle School",0
"Bedroom TV","Middle School",0
"Unsupervised Parties","Middle School",0
"Swear","Middle School",1
"Bedroom Computer","High School",9
"Start Dating","High School",6
"Drink Regularly","High School",3
"Try Drugs","High School",3
"Wear Makeup","High School",7
"View Porn","High School",1
"R-Rated Movie","High School",2
"Have Sex","High School",4
"Social Media","High School",9
"Smartphone","High School",12
"Try Alcohol","High School",3
"Bedroom TV","High School",4
"Unsupervised Parties","High School",4
"Swear","High School",2
"Bedroom Computer","Marriage",0
"Start Dating","Marriage",2
"Drink Regularly","Marriage",0
"Try Drugs","Marriage",0
"Wear Makeup","Marriage",1
"View Porn","Marriage",0
"R-Rated Movie","Marriage",0
"Have Sex","Marriage",19
"Social Media","Marriage",0
"Smartphone","Marriage",0
"Try Alcohol","Marriage",0
"Bedroom TV","Marriage",1
"Unsupervised Parties","Marriage",0
"Swear","Marriage",0
"Bedroom Computer","Never",12
"Start Dating","Never",7
"Drink Regularly","Never",14
"Try Drugs","Never",25
"Wear Makeup","Never",7
"View Porn","Never",19
"R-Rated Movie","Never",3
"Have Sex","Never",9
"Social Media","Never",4
"Smartphone","Never",3
"Try Alcohol","Never",19
"Bedroom TV","Never",16
"Unsupervised Parties","Never",7
"Swear","Never",24
"Bedroom Computer","College",4
"Start Dating","College",5
"Drink Regularly","College",10
"Try Drugs","College",4
"Wear Makeup","College",1
"View Porn","College",1
"R-Rated Movie","College",2
"Have Sex","College",6
"Social Media","College",2
"Smartphone","College",3
"Try Alcohol","College",4
"Bedroom TV","College",2
"Unsupervised Parties","College",5
"Swear","College",2
"Bedroom Computer","Grad School",0
"Start Dating","Grad School",0
"Drink Regularly","Grad School",1
"Try Drugs","Grad School",0
"Wear Makeup","Grad School",0
"View Porn","Grad School",0
"R-Rated Movie","Grad School",0
"Have Sex","Grad School",0
"Social Media","Grad School",0
"Smartphone","Grad School",1
"Try Alcohol","Grad School",0
"Bedroom TV","Grad School",0
"Unsupervised Parties","Grad School",0
"Swear","Grad School",0
"Bedroom Computer","Puberty",0
"Start Dating","Puberty",0
"Drink Regularly","Puberty",0
"Try Drugs","Puberty",0
"Wear Makeup","Puberty",1
"View Porn","Puberty",1
"R-Rated Movie","Puberty",0
"Have Sex","Puberty",0
"Social Media","Puberty",0
"Smartphone","Puberty",0
"Try Alcohol","Puberty",0
"Bedroom TV","Puberty",0
"Unsupervised Parties","Puberty",0
"Swear","Puberty",0
"Bedroom Computer","21",0
"Start Dating","21",3
"Drink Regularly","21",12
"Try Drugs","21",3
"Wear Makeup","21",0
"View Porn","21",1
"R-Rated Movie","21",1
"Have Sex","21",3
"Social Media","21",0
"Smartphone","21",1
"Try Alcohol","21",13
"Bedroom TV","21",0
"Unsupervised Parties","21",2
"Swear","21",0
"Bedroom Computer","Adult",2
"Start Dating","Adult",1
"Drink Regularly","Adult",7
"Try Drugs","Adult",1
"Wear Makeup","Adult",0
"View Porn","Adult",1
"R-Rated Movie","Adult",2
"Have Sex","Adult",1
"Social Media","Adult",0
"Smartphone","Adult",1
"Try Alcohol","Adult",1
"Bedroom TV","Adult",3
"Unsupervised Parties","Adult",6
"Swear","Adult",2
"Bedroom Computer","20s",0
"Start Dating","20s",0
"Drink Regularly","20s",0
"Try Drugs","20s",0
"Wear Makeup","20s",0
"View Porn","20s",0
"R-Rated Movie","20s",0
"Have Sex","20s",2
"Social Media","20s",0
"Smartphone","20s",0
"Try Alcohol","20s",0
"Bedroom TV","20s",0
"Unsupervised Parties","20s",0
"Swear","20s",0
"Bedroom Computer","Mid 20s",0
"Start Dating","Mid 20s",0
"Drink Regularly","Mid 20s",0
"Try Drugs","Mid 20s",0
"Wear Makeup","Mid 20s",0
"View Porn","Mid 20s",0
"R-Rated Movie","Mid 20s",0
"Have Sex","Mid 20s",1
"Social Media","Mid 20s",0
"Smartphone","Mid 20s",0
"Try Alcohol","Mid 20s",0
"Bedroom TV","Mid 20s",0
"Unsupervised Parties","Mid 20s",0
"Swear","Mid 20s",0
"Bedroom Computer","2",1
"Start Dating","2",0
"Drink Regularly","2",1
"Try Drugs","2",0
"Wear Makeup","2",0
"View Porn","2",0
"R-Rated Movie","2",0
"Have Sex","2",0
"Social Media","2",0
"Smartphone","2",0
"Try Alcohol","2",0
"Bedroom TV","2",1
"Unsupervised Parties","2",0
"Swear","2",0
"Bedroom Computer","3",0
"Start Dating","3",0
"Drink Regularly","3",0
"Try Drugs","3",0
"Wear Makeup","3",1
"View Porn","3",0
"R-Rated Movie","3",0
"Have Sex","3",0
"Social Media","3",0
"Smartphone","3",0
"Try Alcohol","3",1
"Bedroom TV","3",0
"Unsupervised Parties","3",0
"Swear","3",0
"Bedroom Computer","4",0
"Start Dating","4",0
"Drink Regularly","4",0
"Try Drugs","4",0
"Wear Makeup","4",0
"View Porn","4",0
"R-Rated Movie","4",0
"Have Sex","4",0
"Social Media","4",0
"Smartphone","4",0
"Try Alcohol","4",1
"Bedroom TV","4",2
"Unsupervised Parties","4",0
"Swear","4",1
"Bedroom Computer","18",4
"Start Dating","18",7
"Drink Regularly","18",4
"Try Drugs","18",4
"Wear Makeup","18",4
"View Porn","18",1
"R-Rated Movie","18",6
"Have Sex","18",9
"Social Media","18",3
"Smartphone","18",4
"Try Alcohol","18",8
"Bedroom TV","18",2
"Unsupervised Parties","18",10
"Swear","18",2
"Bedroom Computer","19",1
"Start Dating","19",0
"Drink Regularly","19",1
"Try Drugs","19",0
"Wear Makeup","19",0
"View Porn","19",0
"R-Rated Movie","19",1
"Have Sex","19",3
"Social Media","19",0
"Smartphone","19",0
"Try Alcohol","19",2
"Bedroom TV","19",0
"Unsupervised Parties","19",0
"Swear","19",0
"Bedroom Computer","20",1
"Start Dating","20",0
"Drink Regularly","20",3
